"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SEG1,SEG2";"ACSC56-41SRWA-F01";2;"HDSP-C5A3";;;
2;"P2";"conn-6-angled-low-profile-smd";1;"CONN_01X06";;;
3;"R1,R2,R3,R4,R5,R6,R7,R8";"R_0805_HandSoldering";8;"510";;;
4;"R9,R12";"R_0805_HandSoldering";2;"4K7";;;
5;"R10,R11";"R_0805_HandSoldering";2;"10K";;;
6;"Q1,Q2";"SOT-23_Handsoldering";2;"BC546";;;
7;"P1";"2x3-male-pin-header-smd";1;"CONN_02X03";;;
8;"ARD1";"ArduinoProMini";1;"Arduino_Pro_Mini_Board";;;
9;"SW1,SW2";"SW_SPST_PTS645";2;"SW_PUSH";;;
